epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4076,1.8615,4.75913,1.60077,0.01951,0.00768,0.01213,0.00965,1.62911,4.33029,1.3018,0.000108906,0.000108906,0.000108906
2,23.3959,1.71698,4.23775,1.41943,0.7584,0.0474,0.05234,0.02925,1.70706,3.6134,1.36302,0.000217729,0.000217729,0.000217729
3,28.2765,1.75805,3.69654,1.4107,0.59257,0.15466,0.09743,0.05166,1.69926,2.9065,1.42434,0.000324354,0.000324354,0.000324354
4,33.0545,1.75324,3.21173,1.40777,0.67984,0.18744,0.16366,0.0942,1.64052,2.61912,1.40828,0.00032311,0.00032311,0.00032311
5,37.9876,1.68694,2.8255,1.39002,0.66328,0.21987,0.18815,0.11088,1.5996,2.50292,1.3971,0.000319813,0.000319813,0.000319813
6,42.8325,1.6358,2.59018,1.35228,0.60792,0.24788,0.24334,0.14741,1.58027,2.24848,1.38272,0.000316517,0.000316517,0.000316517
7,47.8172,1.6008,2.39942,1.33885,0.43446,0.27848,0.25812,0.15161,1.56042,2.11769,1.36477,0.00031322,0.00031322,0.00031322
8,52.6288,1.59773,2.29163,1.34437,0.54835,0.28153,0.28182,0.16796,1.55984,2.06701,1.36197,0.000309923,0.000309923,0.000309923
9,57.4998,1.57152,2.16537,1.3217,0.68074,0.29005,0.30704,0.1791,1.54862,1.93216,1.35548,0.000306626,0.000306626,0.000306626
10,62.2947,1.55582,2.09699,1.31489,0.71041,0.27675,0.31814,0.18625,1.57773,2.10379,1.3762,0.00030333,0.00030333,0.00030333
11,67.1349,1.5217,2.05301,1.30731,0.62193,0.29738,0.33863,0.19609,1.56152,1.84829,1.35684,0.000300033,0.000300033,0.000300033
12,71.9591,1.52012,1.97272,1.29072,0.62117,0.33918,0.34577,0.19928,1.54501,1.8262,1.32314,0.000296736,0.000296736,0.000296736
13,76.8932,1.49943,1.87437,1.28011,0.62591,0.33442,0.36133,0.20813,1.55739,1.83027,1.35336,0.00029344,0.00029344,0.00029344
14,82.0616,1.48545,1.85292,1.26992,0.5028,0.40008,0.3798,0.2286,1.50184,1.79605,1.3404,0.000290143,0.000290143,0.000290143
15,87.3754,1.4726,1.83922,1.28825,0.60752,0.32905,0.36658,0.21307,1.53486,1.89958,1.36937,0.000286846,0.000286846,0.000286846
16,92.6733,1.46089,1.79187,1.26239,0.56883,0.35571,0.37082,0.21714,1.53567,1.76624,1.3396,0.00028355,0.00028355,0.00028355
17,97.7299,1.46203,1.72141,1.243,0.54385,0.40287,0.40008,0.23839,1.50697,1.67258,1.34194,0.000280253,0.000280253,0.000280253
18,102.968,1.44415,1.67742,1.25123,0.55609,0.3852,0.38294,0.22213,1.52744,1.74426,1.34319,0.000276956,0.000276956,0.000276956
19,108.074,1.41949,1.65074,1.23631,0.59404,0.39417,0.40667,0.24197,1.4979,1.64107,1.3391,0.000273659,0.000273659,0.000273659
20,112.885,1.41482,1.63662,1.23661,0.64136,0.38466,0.42378,0.25071,1.51711,1.69101,1.33665,0.000270363,0.000270363,0.000270363
21,117.691,1.43602,1.63084,1.23891,0.66348,0.37197,0.42749,0.25258,1.50819,1.61318,1.32179,0.000267066,0.000267066,0.000267066
